text,font_size,is_bold,x_position,word_count,size_diff_from_prev,starts_with_numbering,page_num,label
Application form for grant of LTC advance,11.669999999999959,True,199.86,7,11.669999999999959,False,0,Title
Name of the Government Servant,9.744399999999928,False,95.9985704,5,-1.9256000000000313,False,0,paragraph
1.,9.744399999999928,True,70.02,1,0.0,True,0,paragraph
Designation,9.744399999999928,False,95.9985704,1,0.0,False,0,paragraph
2.,9.744399999999928,True,70.02000000000001,1,0.0,True,0,paragraph
Date of entering the Central Government,9.744399999999928,False,95.9985704,6,0.0,False,0,paragraph
3.,9.744399999999928,True,70.02000000000001,1,0.0,True,0,paragraph
Service,9.744399999999928,False,95.9985704,1,0.0,False,0,paragraph
PAY + SI + NPA,9.744399999999928,False,95.9985704,5,0.0,False,0,paragraph
4.,9.744399999999928,True,70.02000000000001,1,0.0,True,0,paragraph
Whether permanent or temporary,9.744399999999928,False,95.9985704,4,0.0,False,0,paragraph
5.,9.744399999999928,True,70.02000000000001,1,0.0,True,0,paragraph
6. Home Town as recorded in the Service Book,9.744399999999928,True,70.02000000000001,9,0.0,True,0,paragraph
Whether wife / husband is employed and if,9.744399999999928,False,95.9985704,8,0.0,False,0,paragraph
7.,9.744399999999928,True,70.02000000000001,1,0.0,True,0,paragraph
so whether entitled to LTC,9.744399999999928,False,95.9985704,5,0.0,False,0,paragraph
Whether the concession is to be availed for,9.744399999999928,False,95.9985704,8,0.0,False,0,paragraph
visiting home town and if so block for which,9.744399999999928,False,95.9985704,9,0.0,False,0,paragraph
8.,9.744399999999928,True,70.02000000000001,1,0.0,True,0,paragraph
LTC is to be availed.,9.744400000000041,False,95.9985704,5,1.1368683772161603e-13,False,0,paragraph
(a) If the concession is to visit anywhere in,9.744400000000041,False,95.9985704,9,0.0,False,0,paragraph
"India, the place to be visited.",9.744400000000041,False,95.9985704,6,0.0,False,0,paragraph
9.,9.744400000000041,True,70.02000000000001,1,0.0,True,0,paragraph
(b) Block for which to be availed.,9.744400000000041,False,95.9985704,7,0.0,False,0,paragraph
Single rail fare/bus fare from the,9.744400000000041,False,95.9985704,6,0.0,False,0,paragraph
headquarters to home town/place of visit by,9.744400000000041,False,95.9985704,7,0.0,False,0,paragraph
10.,9.744400000000041,True,70.02000000000001,1,0.0,True,0,paragraph
